Name in documentation	Category	Qty	Full Name	Notes
Back support - A	printedparts	1		
Back support - B	printedparts	1		
Carriage	printedparts	1		
Front support	printedparts	1		
Hand knob	printedparts	2		
Heat insert	mech	6	Heat inserts	
Lead screw	mech	1	Threaded Rod	
Lead screw nut	mech	1	Lead Screw Nut	
Linear bearing	mech	2	Linear Bearing	
Linear motion rods	mech	2	Linear Motion Rods	
M2.5 hex key	tool	1		
M3 10mm screw	mech	2	Screw	
M3 12mm screw	mech	2	Screw	
M3 16mm screw	mech	8	Screw	
M3 20mm screw	mech	2	Screw	
M3 8mm screw	mech	4	Screw	
M3 hex key	tool	1		
M3 nut	mech	9		
M4 10mm screw	mech	4	Screw	
M4 hex key	tool	1		
Motor coupling	mech	1	Motor Coupling	
NEMA 17 motor	elect	1	Stepper Motor Nema 17	
Planetary gearbox 100:1	mech	1	Planetary Gearbox	
Soldering iron	tool	1		
Syringe holder	printedparts	1		
