LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C14663,CC0603KRX7R9BB104,YAGEO,0603,,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0603krx7r9bb104_C14663.html
C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,,50V 1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0088,0.44,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21b105kbfnnne_C28323.html
C5162345,CS1E221M-CRF10,ROQANG,"SMD,D8xL10.5mm",,"220uF 25V 183mA@120Hz ±20% SMD,D8xL10.5mm Aluminum Electrolytic Capacitors - SMD ROHS",yes,10,10,0.0604,0.60,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-smd_roqang-cs1e221m-crf10_C5162345.html
C5162349,CS1E331M-CRF10,ROQANG,"SMD,D8xL10.5mm",,"330uF 25V 228mA@120Hz ±20% SMD,D8xL10.5mm Aluminum Electrolytic Capacitors - SMD ROHS",yes,10,10,0.0444,0.44,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-smd_roqang-cs1e331m-crf10_C5162349.html
C3019736,ACDBB540-HF,Comchip,SMB,,40V Independent Type 550mV@5A 5A SMB Schottky Diodes ROHS,yes,5,5,0.2341,1.17,https://www.lcsc.com/product-detail/schottky-diodes_comchip-acdbb540-hf_C3019736.html
C12624,KT-0603G,Hubei KENTO Elec,0603,,Emerald 0603 LED Indication - Discrete ROHS,yes,50,50,0.0104,0.52,https://www.lcsc.com/product-detail/led-indication-discrete_hubei-kento-elec-kt-0603g_C12624.html
C553921,S1206-F-1.0A,SART(Nanjing Sart Tech),1206,,50A SMD Fuse 1A 32V 1206 Disposable fuses ROHS,yes,10,10,0.0686,0.69,https://www.lcsc.com/product-detail/disposable-fuses_sart-nanjing-sart-tech-s1206-f-1-0a_C553921.html
C2840319,TY500-5.0-02P-14-00AH,Toponelec,"Plugin,P=5mm",,"1x2P 20A -40℃~+105℃ 300V Green 12~30 Direct Insert 5mm 1~2.5 1 2 Plugin,P=5mm Screw Terminal Blocks ROHS",yes,5,1,0.1999,1.00,https://www.lcsc.com/product-detail/screw-terminal-blocks_toponelec-ty500-5-0-02p-14-00ah_C2840319.html
C557656,XY350V-3.5-4P,Ningbo Xinlaiya Elec.,"Plugin,P=3.5mm",,"Copper 1x4P Tin 3.5mm 1 1 4 7A 300V Green 18~24 Direct Insert Plugin,P=3.5mm Screw Terminal Blocks ROHS",yes,20,5,0.2307,4.61,https://www.lcsc.com/product-detail/screw-terminal-blocks_ningbo-xinlaiya-elec-xy350v-3-5-4p_C557656.html
C8677,XH-2Y,BOOMELE(Boom Precision Elec),P=2.5mm,,2.5mm 1x2P XH 2 1 P=2.5mm Housings (Wire To Board / Wire To Wire ) ROHS,yes,100,100,0.0035,0.35,https://www.lcsc.com/product-detail/housings-wire-to-board-wire-to-wire_boomele-boom-precision-elec-xh-2y_C8677.html
